CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,CVE_SUN,NOM_SUN,P_2015,P_2016,P_2017,P_2018,P_2019,P_2020,P_2021,P_2022,P_2023,P_2024,P_2025,P_2026,P_2027,P_2028,P_2029,P_2030
05,Coahuila de Zaragoza,05027,Ramos Arizpe,M05.04,Saltillo,89431,92448,95406,98204,100825,103252,105455,107426,109143,110578,111721,112552,113046,113191,112963,112342
05,Coahuila de Zaragoza,05030,Saltillo,M05.04,Saltillo,802233,815860,829873,843421,856542,869184,881364,893059,904238,914907,925036,934587,943620,952050,959896,967176
06,Colima,06002,Colima,M06.01,Colima-Villa de Álvarez,157810,159924,162151,164432,166773,169188,171674,174249,176897,179642,182479,185429,188489,191667,194966,198405
06,Colima,06003,Comala,M06.01,Colima-Villa de Álvarez,22539,22787,23053,23326,23606,23902,24207,24527,24863,25213,25583,25971,26375,26806,27255,27728
06,Colima,06004,Coquimatlán,M06.01,Colima-Villa de Álvarez,20894,21126,21372,21629,21891,22167,22453,22754,23073,23402,23747,24110,24492,24892,25316,25759
06,Colima,06005,Cuauhtémoc,M06.01,Colima-Villa de Álvarez,30657,31046,31466,31906,32357,32829,33322,33828,34362,34914,35484,36077,36694,37334,38001,38694
06,Colima,06010,Villa de Álvarez,M06.01,Colima-Villa de Álvarez,136370,139614,142716,145650,148416,151019,153449,155697,157777,159674,161387,162905,164238,165388,166332,167071
06,Colima,06001,Armería,M06.02,Tecomán,30462,30794,31154,31535,31935,32363,32810,33282,33779,34299,34845,35419,36020,36650,37309,37991
06,Colima,06009,Tecomán,M06.02,Tecomán,124432,126507,128574,130621,132639,134631,136597,138532,140443,142323,144167,145984,147768,149527,151249,152938
07,Chiapas,07089,Tapachula,M07.01,Tapachula,355701,361374,367098,372829,378562,384312,390076,395851,401657,407490,413359,419263,425211,431207,437261,443372
07,Chiapas,07012,Berriozábal,M07.02,Tuxtla Gutiérrez,50239,51699,53106,54456,55751,56971,58123,59191,60172,61056,61840,62512,63069,63505,63813,63988
07,Chiapas,07027,Chiapa de Corzo,M07.02,Tuxtla Gutiérrez,100088,102440,104746,106979,109138,111223,113221,115134,116946,118659,120262,121753,123124,124370,125487,126465
07,Chiapas,07079,San Fernando,M07.02,Tuxtla Gutiérrez,38744,39625,40487,41327,42146,42939,43702,44435,45131,45791,46409,46985,47517,47996,48421,48802
07,Chiapas,07086,Suchiapa,M07.02,Tuxtla Gutiérrez,24050,24566,25072,25568,26044,26510,26952,27379,27792,28182,28550,28900,29225,29525,29801,30054
07,Chiapas,07101,Tuxtla Gutiérrez,M07.02,Tuxtla Gutiérrez,616266,625767,635183,644430,653552,662591,671619,680599,689576,698698,707823,717063,726468,736015,745852,755850
08,Chihuahua,08002,Aldama,M08.01,Chihuahua,24318,24672,25070,25461,25836,26197,26541,26870,27177,27458,27721,27952,28155,28332,28471,28581
08,Chihuahua,08004,Aquiles Serdán,M08.01,Chihuahua,16073,16726,17379,17988,18546,19050,19492,19860,20147,20348,20458,20471,20374,20161,19832,19383
