CVEGEO,2020-01-08,2020-01-09,2020-01-10,2020-01-11,2020-01-12,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,2.0,,,,1.0,,,2.0,3.0,1.0,1.0,4.0,1.0,1.0,3.0,3.0,4.0,3.0,4.0,1.0,,,5.0,2.0,3.0,5.0,,2.0,6.0,7.0,,4.0,1.0,11.0,11.0,4.0,4.0,6.0,6.0,9.0,6.0,7.0,8.0,8.0,4.0,6.0,4.0,10.0,9.0,15.0,5.0,5.0,3.0,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,4.0,3.0,2.0,1.0,4.0,4.0,3.0,11.0,4.0,6.0,2.0,10.0,9.0,9.0,15.0,7.0,4.0,6.0,14.0,25.0,25.0,19.0,9.0,16.0,23.0,17.0,12.0,12.0,19.0,6.0,6.0,11.0,19.0,19.0,18.0,29.0,20.0,22.0,22.0,31.0,38.0,29.0,38.0,40.0,20.0,31.0,49.0,30.0,36.0,37.0,18.0,28.0,21.0,15.0,12.0,11.0,7.0,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,4.0,1.0,,1.0,1.0,1.0,3.0,3.0,2.0,,3.0,2.0,2.0,3.0,,3.0,3.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,4.0,3.0,2.0,3.0,3.0,1.0,4.0,4.0,6.0,6.0,2.0,4.0,6.0,2.0,6.0,7.0,4.0,5.0,3.0,9.0,3.0,1.0,7.0,9.0,7.0,4.0,5.0,6.0,9.0,3.0,5.0,2.0,1.0,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,2.0,3.0,1.0,3.0,4.0,6.0,2.0,3.0,7.0,5.0,8.0,9.0,6.0,10.0,6.0,13.0,6.0,21.0,16.0,18.0,17.0,13.0,19.0,15.0,19.0,14.0,27.0,29.0,14.0,20.0,26.0,32.0,31.0,29.0,28.0,30.0,29.0,41.0,35.0,43.0,25.0,51.0,28.0,26.0,25.0,21.0,35.0,29.0,23.0,25.0,17.0,8.0,10.0,10.0,2.0,1.0,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,1.0,4.0,2.0,1.0,4.0,2.0,1.0,2.0,3.0,,5.0,3.0,1.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,4.0,3.0,,1.0,,1.0,1.0,2.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,,8.0,7.0,2.0,2.0,6.0,14.0,10.0,19.0,15.0,8.0,11.0,11.0,7.0,7.0,2.0,,
25,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,,2.0,2.0,3.0,2.0,1.0,4.0,6.0,6.0,6.0,16.0,13.0,9.0,11.0,13.0,10.0,15.0,16.0,24.0,18.0,20.0,27.0,25.0,22.0,29.0,29.0,39.0,36.0,47.0,38.0,43.0,45.0,34.0,35.0,45.0,50.0,44.0,56.0,83.0,36.0,42.0,47.0,54.0,54.0,25.0,31.0,19.0,34.0,19.0,15.0,2.0,4.0,1.0,1.0,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,,,2.0,4.0,1.0,2.0,2.0,,2.0,2.0,3.0,2.0,4.0,5.0,5.0,,1.0,4.0,12.0,2.0,5.0,9.0,5.0,18.0,6.0,10.0,11.0,12.0,7.0,6.0,8.0,10.0,3.0,14.0,12.0,14.0,12.0,22.0,11.0,12.0,19.0,17.0,16.0,14.0,15.0,9.0,8.0,8.0,8.0,6.0,1.0,1.0,,
27,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,,,2.0,2.0,1.0,3.0,2.0,5.0,8.0,5.0,5.0,4.0,7.0,6.0,11.0,6.0,7.0,16.0,13.0,12.0,10.0,12.0,18.0,13.0,24.0,17.0,30.0,32.0,31.0,40.0,47.0,26.0,41.0,50.0,67.0,46.0,53.0,54.0,62.0,70.0,67.0,55.0,45.0,47.0,64.0,40.0,34.0,33.0,45.0,34.0,30.0,23.0,11.0,7.0,5.0,3.0,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,3.0,,,,3.0,2.0,1.0,1.0,1.0,4.0,4.0,3.0,1.0,1.0,11.0,5.0,5.0,4.0,3.0,8.0,3.0,4.0,6.0,3.0,4.0,6.0,9.0,7.0,22.0,12.0,11.0,17.0,20.0,16.0,9.0,23.0,21.0,12.0,26.0,12.0,26.0,23.0,24.0,15.0,13.0,6.0,13.0,2.0,6.0,5.0,,1.0
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,1.0,2.0,2.0,,1.0,9.0,2.0,4.0,3.0,5.0,5.0,4.0,8.0,1.0,2.0,6.0,9.0,1.0,12.0,1.0,2.0,7.0,12.0,9.0,10.0,8.0,9.0,9.0,21.0,17.0,8.0,10.0,15.0,11.0,14.0,15.0,4.0,10.0,14.0,4.0,7.0,4.0,2.0,1.0,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,4.0,,3.0,2.0,2.0,2.0,4.0,2.0,7.0,1.0,1.0,5.0,,3.0,4.0,5.0,3.0,4.0,5.0,5.0,5.0,11.0,6.0,5.0,9.0,12.0,13.0,22.0,17.0,19.0,21.0,25.0,31.0,21.0,35.0,31.0,30.0,39.0,26.0,67.0,41.0,38.0,43.0,59.0,52.0,37.0,54.0,46.0,27.0,17.0,22.0,9.0,6.0,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,1.0,3.0,3.0,1.0,5.0,3.0,1.0,2.0,7.0,5.0,9.0,3.0,4.0,5.0,3.0,3.0,1.0,3.0,4.0,6.0,7.0,5.0,5.0,7.0,7.0,11.0,7.0,4.0,11.0,12.0,12.0,3.0,7.0,17.0,19.0,15.0,8.0,13.0,17.0,18.0,22.0,24.0,28.0,31.0,14.0,31.0,38.0,35.0,37.0,49.0,30.0,17.0,36.0,18.0,18.0,10.0,7.0,1.0,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,1.0,1.0,3.0,,2.0,1.0,,,,,,,,,2.0,,2.0,2.0,,,,1.0,6.0,1.0,5.0,4.0,2.0,2.0,3.0,1.0,7.0,2.0,5.0,6.0,5.0,2.0,4.0,3.0,3.0,2.0,5.0,17.0,7.0,7.0,4.0,4.0,1.0,,2.0,,
