CVEGEO,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09
12,6.0,6.0,6.0,8.0,9.0,11.0,11.0,12.0,14.0,16.0,18.0,23.0,30.0,31.0,31.0,32.0,39.0,49.0,50.0,52.0,52.0,52.0,54.0,58.0,60.0,62.0,64.0,68.0,74.0,75.0,80.0,85.0,86.0,105.0,112.0,112.0,116.0,132.0,140.0,152.0,161.0,170.0,175.0,182.0,197.0,217.0,240.0,251.0,270.0,275.0,281.0,295.0,314.0,341.0,358.0,371.0,382.0,390.0,428.0,489.0,509.0,525.0,546.0,556.0,585.0,611.0,661.0,684.0,701.0,722.0,733.0,754.0,801.0,820.0,830.0,847.0,857.0,867.0,876.0,891.0,913.0,927.0,962.0,988.0,995.0,1003.0,1024.0,1039.0,1059.0
13,7.0,7.0,8.0,10.0,10.0,11.0,12.0,13.0,14.0,15.0,15.0,14.0,16.0,16.0,17.0,19.0,26.0,27.0,29.0,30.0,32.0,38.0,43.0,46.0,52.0,59.0,65.0,67.0,75.0,81.0,93.0,103.0,115.0,131.0,141.0,146.0,152.0,157.0,168.0,180.0,188.0,199.0,199.0,202.0,226.0,234.0,250.0,274.0,284.0,287.0,301.0,311.0,346.0,354.0,367.0,373.0,380.0,385.0,392.0,406.0,408.0,422.0,430.0,437.0,443.0,454.0,469.0,479.0,496.0,505.0,522.0,531.0,541.0,559.0,574.0,583.0,596.0,601.0,614.0,636.0,646.0,665.0,678.0,681.0,688.0,693.0,707.0,718.0,727.0
14,11.0,11.0,11.0,11.0,11.0,13.0,13.0,13.0,14.0,15.0,15.0,19.0,20.0,23.0,25.0,25.0,25.0,25.0,28.0,30.0,32.0,33.0,34.0,36.0,38.0,43.0,47.0,50.0,54.0,57.0,57.0,61.0,66.0,70.0,77.0,82.0,85.0,91.0,96.0,97.0,102.0,102.0,107.0,115.0,123.0,126.0,130.0,133.0,136.0,140.0,148.0,161.0,177.0,186.0,207.0,223.0,233.0,249.0,263.0,275.0,301.0,309.0,317.0,325.0,339.0,357.0,398.0,420.0,428.0,438.0,457.0,468.0,488.0,523.0,556.0,595.0,613.0,628.0,656.0,685.0,722.0,755.0,779.0,800.0,840.0,859.0,881.0,909.0,944.0
15,29.0,35.0,44.0,51.0,55.0,60.0,69.0,74.0,79.0,102.0,119.0,134.0,147.0,159.0,166.0,177.0,186.0,210.0,239.0,257.0,273.0,284.0,299.0,327.0,359.0,406.0,441.0,472.0,496.0,506.0,557.0,611.0,641.0,667.0,699.0,719.0,735.0,764.0,854.0,937.0,1127.0,1165.0,1175.0,1208.0,1310.0,1393.0,1456.0,1520.0,1594.0,1613.0,1636.0,1698.0,1897.0,2106.0,2185.0,2217.0,2244.0,2317.0,2373.0,2523.0,2607.0,2707.0,2774.0,2806.0,2879.0,3019.0,3172.0,3315.0,3448.0,3504.0,4095.0,4411.0,4536.0,4752.0,4936.0,5117.0,5260.0,5273.0,5345.0,5486.0,5637.0,5721.0,5848.0,5919.0,5932.0,6021.0,6193.0,6304.0,6411.0
16,9.0,9.0,11.0,12.0,13.0,14.0,16.0,17.0,17.0,19.0,20.0,23.0,25.0,27.0,30.0,33.0,35.0,36.0,40.0,43.0,44.0,46.0,49.0,51.0,52.0,53.0,54.0,57.0,61.0,65.0,67.0,71.0,73.0,75.0,81.0,82.0,85.0,88.0,91.0,101.0,104.0,109.0,110.0,113.0,126.0,138.0,146.0,149.0,160.0,162.0,166.0,173.0,193.0,205.0,219.0,222.0,227.0,234.0,246.0,258.0,262.0,268.0,273.0,278.0,289.0,308.0,325.0,342.0,355.0,363.0,368.0,382.0,395.0,410.0,426.0,431.0,439.0,441.0,451.0,460.0,476.0,491.0,498.0,502.0,506.0,517.0,528.0,540.0,554.0
17,7.0,7.0,9.0,10.0,10.0,10.0,11.0,12.0,12.0,15.0,19.0,21.0,25.0,26.0,28.0,28.0,29.0,31.0,37.0,44.0,47.0,50.0,59.0,71.0,76.0,86.0,95.0,101.0,101.0,101.0,127.0,135.0,140.0,143.0,145.0,151.0,151.0,183.0,206.0,212.0,228.0,238.0,236.0,238.0,248.0,251.0,259.0,262.0,262.0,265.0,270.0,273.0,282.0,289.0,294.0,295.0,297.0,298.0,312.0,320.0,327.0,335.0,336.0,337.0,338.0,351.0,356.0,362.0,366.0,372.0,532.0,624.0,632.0,639.0,640.0,644.0,648.0,651.0,653.0,665.0,677.0,681.0,690.0,691.0,693.0,702.0,704.0,712.0,726.0
18,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,11.0,12.0,12.0,12.0,12.0,12.0,13.0,16.0,19.0,19.0,21.0,20.0,21.0,21.0,23.0,24.0,24.0,25.0,28.0,29.0,30.0,33.0,35.0,35.0,38.0,39.0,40.0,40.0,43.0,44.0,47.0,49.0,50.0,51.0,57.0,68.0,75.0,78.0,81.0,85.0,87.0,88.0,91.0,97.0,103.0,111.0,113.0,114.0,115.0,125.0,126.0,137.0,140.0,144.0,151.0,153.0,160.0,163.0,170.0,179.0,185.0,186.0,194.0,200.0,207.0,208.0,211.0,212.0,213.0,215.0,224.0,229.0,236.0
19,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,8.0,8.0,8.0,9.0,11.0,12.0,15.0,16.0,18.0,19.0,22.0,24.0,27.0,31.0,32.0,32.0,32.0,32.0,35.0,38.0,41.0,48.0,48.0,48.0,48.0,54.0,56.0,58.0,62.0,62.0,62.0,68.0,72.0,77.0,82.0,86.0,88.0,90.0,98.0,101.0,105.0,107.0,111.0,128.0,132.0,132.0,133.0,138.0,154.0,158.0,167.0,167.0,183.0,191.0,199.0,218.0,231.0,238.0,243.0,251.0,258.0,270.0,280.0,297.0,301.0,301.0,312.0,334.0,346.0,363.0,386.0,399.0,403.0,419.0,446.0,467.0,488.0
20,3.0,3.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,7.0,8.0,9.0,11.0,13.0,15.0,15.0,17.0,18.0,19.0,20.0,22.0,23.0,24.0,27.0,31.0,34.0,38.0,41.0,47.0,47.0,52.0,55.0,59.0,64.0,68.0,70.0,76.0,79.0,85.0,90.0,94.0,94.0,101.0,107.0,115.0,122.0,131.0,143.0,150.0,154.0,164.0,168.0,201.0,208.0,218.0,227.0,235.0,239.0,253.0,269.0,292.0,323.0,334.0,343.0,365.0,388.0,400.0,420.0,431.0,443.0,455.0,475.0,496.0,510.0,523.0,545.0,564.0,569.0,584.0,593.0,600.0,613.0,620.0,630.0,637.0,662.0,670.0,682.0,700.0
21,20.0,24.0,29.0,33.0,34.0,39.0,42.0,43.0,47.0,55.0,58.0,64.0,64.0,69.0,69.0,69.0,78.0,84.0,89.0,91.0,95.0,105.0,109.0,117.0,121.0,129.0,134.0,149.0,149.0,150.0,165.0,169.0,172.0,184.0,188.0,190.0,195.0,220.0,230.0,242.0,243.0,251.0,257.0,261.0,269.0,307.0,333.0,342.0,345.0,346.0,355.0,385.0,421.0,451.0,509.0,539.0,552.0,598.0,635.0,651.0,677.0,701.0,710.0,715.0,717.0,760.0,805.0,858.0,894.0,909.0,920.0,945.0,972.0,1006.0,1080.0,1132.0,1157.0,1188.0,1213.0,1246.0,1307.0,1373.0,1424.0,1445.0,1454.0,1483.0,1527.0,1583.0,1632.0
