CVEGEO,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09
26033,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,13.0,13.0,13.0,13.0,13.0,14.0,19.0,19.0,19.0
26036,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0
26043,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,8.0,8.0,8.0,9.0,10.0,10.0,14.0,14.0,15.0,18.0,20.0,20.0,21.0,24.0,27.0,29.0,35.0,36.0,36.0,37.0,39.0,45.0,48.0,52.0,53.0,54.0,56.0,57.0,61.0,63.0,67.0,70.0,70.0,72.0,78.0,94.0,95.0,99.0,117.0,119.0,122.0,125.0,128.0,133.0,136.0,137.0,137.0,144.0,147.0,152.0,157.0
27002,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,9.0,12.0,13.0,13.0,14.0,14.0,15.0,15.0,16.0,16.0,17.0,18.0,19.0,19.0,20.0,20.0,21.0,22.0,23.0,24.0,24.0,25.0,25.0,26.0,27.0,27.0,27.0,29.0,34.0,35.0,35.0,34.0,37.0,45.0,45.0,47.0,48.0,49.0,50.0,50.0,54.0,59.0,59.0,60.0,60.0,61.0,61.0,61.0,64.0,67.0,67.0,67.0,67.0,68.0,68.0,69.0,70.0,71.0,74.0,75.0,76.0,78.0,82.0,82.0,84.0,85.0,87.0,89.0,93.0,96.0
27004,8.0,9.0,10.0,12.0,15.0,16.0,17.0,25.0,28.0,33.0,36.0,39.0,48.0,52.0,56.0,58.0,63.0,70.0,75.0,78.0,79.0,81.0,89.0,98.0,99.0,104.0,111.0,115.0,122.0,131.0,136.0,141.0,148.0,152.0,161.0,170.0,172.0,181.0,191.0,202.0,207.0,215.0,215.0,230.0,236.0,243.0,254.0,258.0,269.0,278.0,283.0,291.0,306.0,313.0,321.0,329.0,334.0,338.0,347.0,347.0,352.0,357.0,364.0,370.0,376.0,382.0,386.0,402.0,406.0,412.0,425.0,427.0,433.0,446.0,451.0,460.0,462.0,467.0,471.0,474.0,483.0,484.0,495.0,513.0,515.0,525.0,538.0,557.0,566.0
27005,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,6.0,6.0,7.0,8.0,8.0,10.0,12.0,12.0,13.0,14.0,15.0,15.0,16.0,18.0,19.0,19.0,21.0,21.0,21.0,21.0,21.0,24.0,26.0,28.0,29.0,29.0,31.0,33.0,33.0,37.0,38.0,39.0,39.0,41.0,44.0,44.0,46.0,47.0,47.0,47.0,48.0,49.0,49.0,50.0,50.0,51.0,52.0,52.0,52.0,53.0,56.0,59.0,59.0,64.0,65.0,66.0,67.0,67.0,68.0,69.0,70.0,71.0,73.0,74.0,75.0,78.0,79.0,82.0,83.0,85.0,86.0,90.0
27009,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,10.0,11.0,11.0,12.0,13.0,14.0,15.0,18.0,18.0,18.0,19.0,19.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,21.0,22.0
27014,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,13.0,15.0,15.0,15.0,16.0,20.0,20.0,22.0,22.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,24.0,24.0,24.0,24.0,30.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,34.0,34.0,35.0,35.0,35.0,35.0,36.0,39.0,43.0,43.0,45.0
28027,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,7.0,8.0,8.0,8.0,10.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,13.0,14.0,14.0,14.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,17.0,19.0,20.0,24.0,24.0,25.0,25.0,25.0,26.0,29.0,30.0,30.0,30.0,31.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,34.0,35.0,36.0,36.0,37.0,37.0,37.0,38.0,48.0,51.0,51.0,52.0,52.0,65.0,69.0
28032,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,13.0,15.0,15.0,15.0,15.0,18.0,18.0,22.0,25.0,26.0,28.0,33.0,33.0,33.0,35.0,43.0,51.0,56.0,59.0,61.0,62.0,68.0,75.0,80.0,82.0,83.0,87.0,96.0,96.0,103.0,116.0,134.0,145.0,145.0,148.0,151.0,169.0,176.0
29013,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,14.0,14.0,14.0,14.0,14.0,14.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,18.0,18.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,23.0,23.0
29059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30065,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0
30131,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,9.0,10.0,10.0,10.0,13.0,19.0,20.0,20.0,21.0,23.0,24.0,24.0,27.0,31.0,38.0,40.0,40.0,42.0,45.0,56.0,57.0,58.0,64.0,64.0,67.0,69.0,72.0,76.0,77.0,77.0,77.0,77.0,81.0,88.0,93.0,94.0,94.0,94.0,94.0,96.0,98.0,98.0,99.0,101.0,101.0,101.0,101.0,103.0,103.0,103.0,106.0,106.0,106.0,106.0,109.0,110.0,112.0,111.0,114.0,114.0,114.0,117.0,117.0,118.0
30178,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31019,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
31041,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,8.0,9.0,10.0,11.0,14.0,14.0,14.0,15.0,16.0,16.0,19.0,20.0,20.0,21.0,21.0,21.0,21.0,22.0,24.0,24.0,25.0,25.0,25.0,25.0,26.0,26.0,28.0
31050,3.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,7.0,8.0,11.0,12.0,12.0,12.0,12.0,12.0,13.0,13.0,14.0,14.0,15.0,15.0,16.0,17.0,18.0,22.0,22.0,22.0,24.0,25.0,25.0,27.0,31.0,36.0,37.0,38.0,38.0,42.0,44.0,47.0,48.0,52.0,55.0,58.0,61.0,67.0,69.0,72.0,78.0,84.0,89.0,100.0,104.0,107.0,108.0,108.0,110.0,113.0,114.0,118.0,122.0,124.0,125.0,128.0,138.0,146.0,148.0,155.0,157.0,157.0,159.0,163.0,168.0,175.0,180.0,184.0,184.0,186.0,191.0,210.0,221.0,227.0,229.0,232.0,241.0,252.0,258.0,265.0
31101,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,10.0,11.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,15.0,15.0,15.0,16.0,18.0,19.0,19.0,19.0,19.0,19.0,20.0,21.0,21.0,23.0,23.0,23.0,23.0,23.0,24.0,24.0,27.0,27.0,27.0,27.0,27.0,27.0,29.0,30.0
32017,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,8.0,9.0
32020,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
04,,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,5.0,8.0,9.0,12.0,13.0,16.0,17.0,17.0,17.0,20.0,20.0,21.0,22.0,23.0,24.0,25.0,25.0,25.0,28.0,28.0,28.0,29.0,31.0,32.0,34.0,35.0,40.0,42.0,44.0,44.0,46.0,46.0,48.0,55.0,59.0,63.0,66.0,68.0,74.0,75.0,75.0,77.0,86.0,86.0,88.0,89.0,90.0,96.0,101.0,107.0,111.0,117.0,119.0,121.0,124.0,126.0,134.0,138.0,141.0,141.0,146.0,150.0,154.0,160.0,166.0,174.0,179.0,182.0,191.0,202.0,209.0,220.0,226.0,237.0,241.0,250.0,257.0,258.0
04003,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,6.0,6.0,7.0,7.0,9.0,9.0,9.0,9.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,15.0,15.0,15.0,15.0,16.0,17.0,19.0,19.0,24.0,24.0,25.0,25.0,27.0,27.0,28.0,33.0,37.0,41.0,44.0,46.0,51.0,52.0,52.0,54.0,62.0,62.0,62.0,63.0,63.0,67.0,68.0,72.0,76.0,81.0,83.0,85.0,85.0,86.0,88.0,91.0,93.0,93.0,93.0,93.0,93.0,93.0,98.0,99.0,100.0,100.0,102.0,105.0,107.0,113.0,114.0,125.0,126.0,126.0,126.0,126.0
15122,,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,6.0,10.0,12.0,12.0,13.0,13.0,15.0,16.0,16.0,20.0,19.0,31.0,31.0,32.0,34.0,37.0,37.0,38.0,38.0,38.0,38.0,48.0,48.0,67.0,69.0,69.0,69.0,70.0,73.0,76.0,80.0,80.0,80.0,80.0,82.0,84.0,89.0,91.0,91.0,91.0,92.0,93.0,94.0,95.0,96.0,97.0,97.0,97.0,103.0,112.0,119.0,120.0,120.0,120.0,120.0,120.0,122.0,124.0,131.0,132.0,132.0,132.0,138.0,145.0,147.0,148.0,148.0,148.0,148.0,149.0,149.0,153.0
21113,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
26017,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,11.0,11.0,11.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,14.0,14.0,14.0,16.0,17.0,18.0,19.0,20.0,21.0,21.0,21.0,21.0,23.0
26060,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
02005,,,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,9.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
03008,,,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,11.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,14.0,15.0,19.0,20.0,21.0,21.0,21.0,22.0,22.0,22.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,24.0,25.0,26.0,27.0,27.0,28.0,28.0,28.0
05035,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,7.0,7.0,8.0,8.0,9.0,9.0,11.0,11.0,12.0,17.0,17.0,17.0,17.0,18.0,20.0,22.0,22.0,26.0,34.0,36.0,36.0,39.0,39.0,40.0,40.0,43.0,44.0,44.0,44.0,47.0,53.0,55.0,58.0,59.0,66.0,67.0,72.0,72.0,75.0,75.0,89.0,93.0,95.0,106.0,109.0,109.0
08017,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0
13039,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0
15020,,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,11.0,11.0,13.0,13.0,13.0,15.0,15.0,15.0,17.0,18.0,17.0,18.0,19.0,20.0,20.0,24.0,25.0,25.0,25.0,25.0,28.0,33.0,33.0,33.0,33.0,34.0,34.0,36.0,39.0,41.0,44.0,45.0,47.0,51.0,56.0,58.0,58.0,58.0,76.0,86.0,89.0,94.0,95.0,100.0,100.0,101.0,102.0,102.0,105.0,105.0,108.0,108.0,109.0,110.0,112.0,117.0,117.0
15037,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,8.0,8.0,9.0,10.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,14.0,15.0,16.0,16.0,16.0,16.0,16.0,20.0,21.0,23.0,24.0,24.0,25.0,26.0,27.0,29.0,31.0,31.0,32.0,37.0,39.0,39.0,45.0,49.0,49.0,49.0,49.0,51.0,51.0,52.0,53.0,53.0,53.0,54.0,56.0,57.0,58.0
15091,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,7.0,9.0,9.0,9.0,9.0,9.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,16.0,18.0,18.0,21.0,21.0,22.0,22.0,22.0,22.0,22.0,23.0,23.0,25.0,25.0,25.0,26.0,26.0,26.0,26.0
15109,,,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,7.0,8.0,9.0,9.0,10.0,11.0,13.0,14.0,14.0,15.0,15.0,16.0,20.0,24.0,25.0,25.0,25.0,25.0,25.0,25.0,26.0,36.0,49.0,52.0,51.0,52.0,59.0,64.0,71.0,72.0,75.0,75.0,75.0,77.0,88.0,92.0,96.0,97.0,97.0,98.0,101.0,106.0,110.0,113.0,119.0,119.0,123.0,129.0,137.0,143.0,144.0,148.0,164.0,178.0,185.0,190.0,196.0,200.0,201.0,202.0,203.0,209.0,213.0,217.0,218.0,223.0,223.0,228.0,238.0,243.0,245.0
15120,,,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,10.0,10.0,11.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,14.0,15.0,16.0,16.0,17.0,18.0,19.0,19.0,19.0,21.0,21.0,22.0,23.0,25.0,26.0,26.0,27.0,28.0,40.0,50.0,51.0,53.0,53.0,58.0,59.0,59.0,59.0,62.0,62.0,64.0,64.0,66.0,66.0,69.0,70.0,71.0,71.0
