CVEGEO,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16
09003,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,,,1.0,2.0,3.0,4.0,2.0,,4.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,2.0,7.0,6.0,6.0,8.0,10.0,3.0,6.0,3.0,1.0,3.0,4.0,,
09004,,,,,,,,,,,,,,2.0,1.0,,,,1.0,,1.0,4.0,5.0,2.0,4.0,8.0,4.0,5.0,7.0,1.0,3.0,4.0,2.0,2.0,1.0,,3.0,2.0,,1.0,2.0,,1.0,,1.0,,4.0,3.0,2.0,5.0,,2.0,5.0,3.0,2.0,,2.0,1.0,,
09005,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,,1.0,9.0,1.0,3.0,2.0,3.0,5.0,10.0,7.0,11.0,7.0,13.0,8.0,17.0,15.0,11.0,10.0,9.0,11.0,12.0,4.0,6.0,11.0,9.0,3.0,1.0,1.0,,
09006,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,2.0,,,,,2.0,,1.0,1.0,,1.0,1.0,3.0,3.0,2.0,2.0,3.0,1.0,5.0,5.0,7.0,5.0,3.0,4.0,5.0,4.0,5.0,2.0,3.0,3.0,,1.0,
09007,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,,2.0,2.0,2.0,1.0,4.0,2.0,9.0,,7.0,3.0,7.0,7.0,12.0,2.0,5.0,6.0,6.0,11.0,12.0,14.0,13.0,17.0,10.0,20.0,6.0,12.0,17.0,18.0,9.0,10.0,2.0,2.0,2.0,
09008,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,2.0,1.0,1.0,3.0,,1.0,3.0,2.0,2.0,,1.0,1.0,,2.0,1.0,1.0,2.0,4.0,,1.0,1.0,3.0,1.0,,,4.0,1.0,,4.0,,,,,,
09009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,2.0,4.0,6.0,1.0,3.0,6.0,1.0,2.0,3.0,1.0,2.0,,
09010,,,,,,,,,,,,,1.0,,,,1.0,,2.0,1.0,1.0,2.0,1.0,3.0,4.0,5.0,4.0,2.0,2.0,5.0,1.0,3.0,5.0,,1.0,2.0,2.0,3.0,7.0,1.0,2.0,2.0,9.0,2.0,7.0,6.0,7.0,6.0,6.0,5.0,6.0,5.0,5.0,8.0,4.0,4.0,2.0,1.0,,
09011,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,3.0,,1.0,2.0,,,,1.0,2.0,1.0,4.0,5.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,,2.0,2.0,1.0,,
09012,,,,,,,,,,,,,,,1.0,,2.0,,,1.0,,4.0,1.0,,1.0,4.0,2.0,4.0,2.0,1.0,3.0,6.0,1.0,3.0,1.0,5.0,5.0,4.0,4.0,3.0,7.0,1.0,5.0,5.0,7.0,7.0,6.0,6.0,12.0,5.0,5.0,4.0,5.0,7.0,9.0,4.0,2.0,1.0,,
09013,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,1.0,,,1.0,3.0,1.0,2.0,1.0,5.0,1.0,4.0,3.0,3.0,3.0,2.0,,3.0,3.0,5.0,3.0,7.0,5.0,4.0,3.0,2.0,9.0,1.0,1.0,2.0,1.0,1.0,
09014,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,,3.0,1.0,,2.0,1.0,6.0,3.0,3.0,6.0,7.0,6.0,1.0,7.0,2.0,6.0,1.0,6.0,1.0,5.0,4.0,1.0,3.0,,,,
09015,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,1.0,2.0,,1.0,2.0,3.0,3.0,4.0,2.0,4.0,1.0,5.0,2.0,3.0,8.0,2.0,3.0,4.0,1.0,5.0,11.0,8.0,5.0,12.0,11.0,4.0,3.0,8.0,2.0,3.0,2.0,6.0,,1.0,,
09016,,,,,,,,,,,,,,,,,,2.0,2.0,6.0,3.0,6.0,8.0,7.0,2.0,7.0,10.0,9.0,11.0,6.0,6.0,3.0,4.0,2.0,,1.0,6.0,,3.0,6.0,4.0,,5.0,3.0,3.0,2.0,2.0,3.0,2.0,6.0,2.0,2.0,4.0,3.0,2.0,3.0,2.0,2.0,,
09017,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,1.0,1.0,1.0,3.0,,3.0,4.0,6.0,3.0,3.0,4.0,6.0,4.0,1.0,4.0,3.0,2.0,11.0,3.0,,7.0,4.0,4.0,,4.0,1.0,,
10005,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
10007,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,3.0,1.0,1.0,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,
10008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
10012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
10013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
10028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
11001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,
11002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,
11003,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
11007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,
11011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
11015,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,1.0,,1.0,,,,,1.0,,,,1.0,,1.0,,,,,,,,,
11017,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,1.0,1.0,1.0,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,
11020,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,2.0,8.0,1.0,2.0,1.0,4.0,2.0,3.0,1.0,,1.0,2.0,1.0,,,,,,2.0,,1.0,1.0,,,1.0,,2.0,2.0,1.0,,1.0,,
11021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
11023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,
11027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,1.0,,1.0,,4.0,3.0,2.0,2.0,2.0,1.0,,,1.0,,,,,1.0,,
11033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
11041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,
11042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
11046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,
12001,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,,1.0,2.0,2.0,1.0,2.0,,1.0,3.0,,1.0,1.0,2.0,4.0,3.0,3.0,5.0,2.0,2.0,5.0,1.0,6.0,,2.0,1.0,,1.0,,,
12002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,
12008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
12017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
12021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,
12028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
12029,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,2.0,,,,,,1.0,,,,,1.0,2.0,,,2.0,1.0,2.0,1.0,1.0,2.0,3.0,,4.0,,,1.0,1.0,,
12033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,1.0,,,
12035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,
12051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
12053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,
12055,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,
12061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
12066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,
12070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,
13003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
13013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
13019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
13021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,
13022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
13023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
13024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
13048,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,2.0,1.0,,2.0,,,,2.0,,,1.0,2.0,,1.0,2.0,1.0,,2.0,1.0,,,1.0,,2.0,,,1.0,,1.0,1.0,,2.0,,,
13051,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,2.0,,1.0,,,,3.0,,,,,,,1.0,,,,1.0,,,,,
13052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
13055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
13061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
13063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
13065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
13067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,
13069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,
13076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
13077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,1.0,,,1.0,,,,1.0,,,,,,,,1.0,,,,,
13084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
14001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,
14006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
14028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,4.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,
14037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,
14039,,,,,,,,,,,,,,,,,,,1.0,,1.0,,2.0,2.0,3.0,6.0,4.0,1.0,1.0,4.0,4.0,,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,,3.0,1.0,,1.0,3.0,2.0,3.0,,2.0,,1.0,,,,
14047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,
14053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,
14067,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,2.0,,,1.0,3.0,3.0,1.0,,,1.0,,,,
14073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,
14074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,
14077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
14088,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
14094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,1.0,,,,,,,
14096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,
14097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,
14098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,
14100,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
14101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
14108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
14118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
14120,,,,,,,,,,,,,,2.0,,,1.0,,1.0,1.0,2.0,3.0,2.0,4.0,3.0,1.0,4.0,1.0,3.0,6.0,3.0,,4.0,5.0,,1.0,1.0,,,2.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,,
15002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,
15005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,
15008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
15009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
15011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,
15012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,2.0,,,,1.0,2.0,1.0,,,,1.0,,1.0,1.0,,1.0,1.0,,,,,,
15013,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,1.0,1.0,2.0,,1.0,,1.0,1.0,,1.0,2.0,,1.0,,1.0,,3.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,,,,
15014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
15018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
15019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,
15020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,,1.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,,,1.0,
15021,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
15024,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,1.0,,,,1.0,,1.0,1.0,,2.0,1.0,1.0,1.0,,5.0,1.0,2.0,2.0,2.0,2.0,1.0,,,,,,
15025,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,2.0,,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,,2.0,2.0,,,1.0,,,
15029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,1.0,,,,1.0,,,1.0,1.0,,1.0,1.0,,,
15031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,2.0,,1.0,,,3.0,1.0,2.0,2.0,4.0,3.0,1.0,4.0,3.0,2.0,4.0,,3.0,1.0,,1.0,,
15033,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,1.0,,,2.0,2.0,,,,2.0,2.0,1.0,2.0,,3.0,6.0,7.0,2.0,5.0,10.0,9.0,7.0,2.0,3.0,5.0,6.0,3.0,5.0,2.0,6.0,7.0,4.0,2.0,,,,
15035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,1.0,,,1.0,,,,,,
15037,,,,,1.0,,,,,,,,,,,,,,,1.0,2.0,4.0,,2.0,2.0,3.0,1.0,,5.0,2.0,1.0,,4.0,1.0,,5.0,4.0,2.0,3.0,3.0,1.0,,1.0,1.0,3.0,2.0,1.0,,2.0,2.0,,,,,,,1.0,,,
15039,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,1.0,1.0,,,,,,,3.0,1.0,,1.0,,3.0,3.0,1.0,,3.0,2.0,1.0,1.0,,4.0,,,,,1.0,,,
15042,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,,,1.0,,,,,
15043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
15044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
15047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
15048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
15051,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,,1.0,,,1.0,,,
15053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
15054,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,2.0,1.0,2.0,2.0,,1.0,1.0,,,,1.0,,1.0,,1.0,,,3.0,,,1.0,,,1.0,,,,
15057,,,,,,,,,,,,,1.0,,1.0,,,,,3.0,,3.0,1.0,,2.0,2.0,3.0,2.0,3.0,,1.0,4.0,,1.0,1.0,1.0,5.0,5.0,2.0,3.0,,2.0,5.0,3.0,3.0,2.0,2.0,3.0,3.0,5.0,1.0,2.0,1.0,3.0,,2.0,3.0,1.0,,1.0
15058,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,1.0,1.0,2.0,2.0,1.0,,2.0,,1.0,1.0,1.0,5.0,2.0,2.0,2.0,5.0,3.0,6.0,1.0,3.0,7.0,5.0,9.0,7.0,6.0,8.0,3.0,4.0,2.0,10.0,4.0,7.0,1.0,,,
15059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
15060,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,4.0,,5.0,2.0,2.0,3.0,,,,,1.0,,,,,
15061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
15064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,
15068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
15070,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,2.0,1.0,1.0,,,,,,,
15072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
15073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,
15074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,
15076,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
15077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
15081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,1.0,,,,,1.0,,2.0,,1.0,3.0,3.0,2.0,2.0,5.0,1.0,3.0,1.0,2.0,2.0,,,,,
15088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,1.0,,
15090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
15091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,1.0,,,,,,,,
15095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,
15099,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,,1.0,,,,3.0,1.0,,2.0,,,,1.0,1.0,,1.0,,,,,
15100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,
15101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,
15103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
15104,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,4.0,3.0,1.0,4.0,2.0,6.0,7.0,2.0,4.0,5.0,4.0,4.0,2.0,5.0,4.0,3.0,2.0,6.0,4.0,3.0,2.0,,1.0,,,
15106,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,2.0,2.0,,2.0,,4.0,,1.0,3.0,,,2.0,1.0,2.0,,1.0,3.0,1.0,,1.0,2.0,2.0,2.0,1.0,1.0,1.0,,,
15108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,1.0,,1.0,,,,,,1.0,,2.0,,,,,,,,,
15109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,1.0,4.0,,1.0,1.0,2.0,,3.0,4.0,1.0,4.0,1.0,5.0,,1.0,,2.0,1.0,1.0,,,,
15110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
