CVEGEO,2020-01-08,2020-01-09,2020-01-10,2020-01-11,2020-01-12,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14
00000,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,,1.0,2.0,1.0,,1.0,1.0,2.0,2.0,2.0,6.0,9.0,6.0,7.0,7.0,10.0,21.0,21.0,62.0,50.0,51.0,58.0,85.0,92.0,99.0,133.0,106.0,123.0,109.0,182.0,128.0,137.0,221.0,179.0,204.0,243.0,279.0,264.0,259.0,375.0,304.0,447.0,426.0,440.0,445.0,412.0,563.0,483.0,599.0,598.0,928.0,690.0,737.0,910.0,868.0,1001.0,989.0,1103.0,1212.0,1089.0,1745.0,1138.0,1166.0,1217.0,1456.0,1458.0,1317.0,1557.0,1334.0,1186.0,1520.0,1908.0,1283.0,1239.0,1467.0,1325.0,1058.0,1025.0,974.0,690.0,544.0,360.0,177.0,93.0,3.0
01,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,1.0,1.0,2.0,2.0,4.0,2.0,2.0,,5.0,9.0,5.0,5.0,4.0,6.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,,2.0,4.0,3.0,2.0,3.0,4.0,6.0,5.0,6.0,11.0,10.0,8.0,10.0,14.0,6.0,19.0,6.0,11.0,17.0,11.0,9.0,10.0,24.0,12.0,13.0,23.0,10.0,18.0,11.0,16.0,19.0,8.0,14.0,7.0,5.0,8.0,13.0,1.0,,
02,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,2.0,4.0,4.0,3.0,5.0,5.0,11.0,10.0,15.0,6.0,6.0,18.0,20.0,17.0,23.0,26.0,25.0,37.0,40.0,33.0,51.0,64.0,49.0,49.0,46.0,54.0,50.0,71.0,80.0,105.0,73.0,85.0,62.0,80.0,67.0,66.0,78.0,73.0,83.0,109.0,72.0,96.0,62.0,72.0,86.0,83.0,80.0,73.0,57.0,88.0,130.0,84.0,67.0,60.0,49.0,55.0,34.0,40.0,18.0,13.0,8.0,3.0,,
03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,3.0,1.0,1.0,,1.0,4.0,5.0,5.0,2.0,5.0,6.0,8.0,9.0,4.0,15.0,13.0,18.0,17.0,22.0,20.0,20.0,13.0,6.0,8.0,6.0,12.0,12.0,10.0,8.0,7.0,6.0,5.0,7.0,11.0,5.0,14.0,1.0,12.0,5.0,11.0,8.0,4.0,4.0,3.0,5.0,9.0,14.0,5.0,7.0,4.0,16.0,4.0,5.0,4.0,3.0,3.0,2.0,,,
04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,1.0,,1.0,,,2.0,,2.0,,2.0,2.0,,2.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,4.0,1.0,4.0,5.0,2.0,5.0,2.0,5.0,4.0,4.0,4.0,6.0,10.0,5.0,10.0,6.0,9.0,10.0,5.0,12.0,4.0,9.0,8.0,17.0,13.0,11.0,16.0,15.0,11.0,5.0,10.0,6.0,10.0,3.0,,1.0,
05,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,1.0,,,2.0,3.0,4.0,1.0,5.0,6.0,2.0,10.0,7.0,8.0,14.0,19.0,15.0,14.0,22.0,11.0,14.0,11.0,12.0,16.0,7.0,15.0,13.0,10.0,8.0,15.0,8.0,8.0,14.0,10.0,16.0,14.0,9.0,14.0,4.0,15.0,13.0,9.0,12.0,12.0,13.0,15.0,10.0,13.0,13.0,21.0,23.0,15.0,9.0,11.0,23.0,13.0,9.0,11.0,9.0,6.0,2.0,1.0,,
06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,1.0,1.0,,,2.0,1.0,,,,,,,,1.0,1.0,,,,2.0,3.0,,,2.0,,6.0,1.0,,1.0,1.0,,2.0,1.0,1.0,,2.0,,2.0,4.0,3.0,3.0,1.0,2.0,,1.0,3.0,6.0,1.0,,,1.0,,
07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,2.0,2.0,3.0,4.0,1.0,4.0,,3.0,4.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,1.0,2.0,5.0,4.0,2.0,2.0,6.0,3.0,8.0,6.0,8.0,13.0,7.0,10.0,7.0,19.0,5.0,13.0,15.0,9.0,20.0,14.0,14.0,22.0,24.0,26.0,25.0,30.0,19.0,27.0,28.0,16.0,18.0,25.0,20.0,10.0,2.0,6.0,,
08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,4.0,4.0,5.0,1.0,7.0,7.0,2.0,10.0,7.0,11.0,14.0,8.0,7.0,9.0,11.0,12.0,9.0,19.0,14.0,10.0,13.0,12.0,28.0,23.0,29.0,35.0,31.0,47.0,26.0,34.0,32.0,48.0,47.0,25.0,31.0,31.0,26.0,29.0,28.0,22.0,23.0,15.0,14.0,8.0,13.0,4.0,7.0,6.0,,,,
09,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,1.0,2.0,1.0,2.0,5.0,2.0,3.0,2.0,6.0,9.0,5.0,19.0,22.0,19.0,15.0,32.0,33.0,35.0,42.0,23.0,25.0,33.0,53.0,20.0,28.0,48.0,45.0,46.0,81.0,55.0,59.0,52.0,100.0,68.0,121.0,105.0,101.0,120.0,117.0,146.0,139.0,149.0,175.0,288.0,195.0,203.0,260.0,253.0,334.0,296.0,337.0,370.0,331.0,550.0,335.0,334.0,371.0,402.0,402.0,358.0,473.0,382.0,300.0,404.0,536.0,310.0,320.0,398.0,290.0,238.0,248.0,260.0,182.0,143.0,94.0,59.0,32.0,
