CVEGEO,2020-01-08,2020-01-09,2020-01-10,2020-01-11,2020-01-12,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21
00000,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,1.0,2.0,1.0,,1.0,1.0,2.0,2.0,2.0,6.0,9.0,6.0,7.0,7.0,10.0,21.0,21.0,62.0,50.0,51.0,58.0,86.0,92.0,99.0,132.0,108.0,124.0,109.0,182.0,126.0,139.0,222.0,179.0,207.0,244.0,282.0,266.0,259.0,379.0,308.0,453.0,428.0,438.0,443.0,417.0,565.0,490.0,606.0,604.0,939.0,702.0,749.0,931.0,884.0,1017.0,1007.0,1128.0,1236.0,1104.0,1781.0,1148.0,1191.0,1269.0,1486.0,1519.0,1370.0,1651.0,1469.0,1309.0,1788.0,2384.0,1727.0,1641.0,2049.0,1999.0,1775.0,1958.0,2182.0,1896.0,2343.0,2073.0,1739.0,1597.0,1372.0,1646.0,1102.0,872.0,793.0,429.0,246.0,41.0
01,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,1.0,1.0,2.0,2.0,4.0,2.0,2.0,,5.0,9.0,5.0,5.0,4.0,6.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,,2.0,4.0,3.0,2.0,3.0,4.0,6.0,5.0,6.0,11.0,10.0,8.0,11.0,13.0,7.0,19.0,6.0,11.0,16.0,11.0,9.0,9.0,24.0,12.0,15.0,24.0,10.0,17.0,11.0,20.0,21.0,9.0,18.0,9.0,8.0,20.0,28.0,11.0,21.0,14.0,18.0,11.0,15.0,8.0,14.0,14.0,2.0
02,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,2.0,4.0,4.0,3.0,5.0,5.0,11.0,10.0,15.0,6.0,6.0,18.0,20.0,18.0,23.0,26.0,25.0,37.0,40.0,33.0,52.0,64.0,49.0,50.0,46.0,55.0,51.0,74.0,82.0,107.0,76.0,87.0,68.0,84.0,74.0,69.0,85.0,80.0,88.0,114.0,76.0,98.0,66.0,71.0,86.0,83.0,83.0,79.0,61.0,99.0,146.0,112.0,82.0,92.0,87.0,99.0,89.0,121.0,78.0,95.0,79.0,88.0,75.0,61.0,86.0,48.0,42.0,24.0,15.0,5.0,
03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,3.0,1.0,1.0,,1.0,4.0,5.0,5.0,2.0,5.0,6.0,8.0,9.0,4.0,15.0,13.0,18.0,17.0,22.0,20.0,20.0,13.0,6.0,8.0,6.0,13.0,12.0,10.0,8.0,7.0,6.0,5.0,7.0,11.0,5.0,13.0,1.0,12.0,6.0,11.0,8.0,4.0,4.0,3.0,5.0,10.0,15.0,5.0,7.0,5.0,16.0,4.0,9.0,8.0,4.0,9.0,5.0,9.0,11.0,9.0,7.0,5.0,5.0,9.0,1.0,4.0,
04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,1.0,,1.0,,,2.0,,2.0,,1.0,2.0,,2.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,4.0,1.0,4.0,6.0,2.0,5.0,2.0,5.0,4.0,4.0,4.0,6.0,10.0,5.0,10.0,6.0,9.0,10.0,5.0,12.0,4.0,10.0,10.0,17.0,15.0,11.0,19.0,17.0,12.0,7.0,16.0,15.0,21.0,23.0,19.0,9.0,8.0,7.0,10.0,11.0,2.0,1.0,1.0,
05,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,1.0,,,2.0,3.0,4.0,1.0,5.0,6.0,3.0,10.0,7.0,8.0,14.0,19.0,15.0,14.0,22.0,11.0,14.0,11.0,12.0,16.0,7.0,15.0,13.0,10.0,8.0,15.0,8.0,8.0,15.0,11.0,17.0,14.0,9.0,14.0,4.0,15.0,13.0,10.0,12.0,12.0,13.0,15.0,10.0,13.0,13.0,22.0,27.0,16.0,9.0,14.0,27.0,16.0,15.0,19.0,20.0,17.0,19.0,22.0,10.0,14.0,14.0,14.0,17.0,8.0,,,
06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,1.0,1.0,,,2.0,1.0,,,,,,,,1.0,1.0,,,,2.0,3.0,,,2.0,,6.0,1.0,,1.0,1.0,,2.0,1.0,1.0,,2.0,,2.0,4.0,3.0,3.0,1.0,2.0,,3.0,3.0,6.0,3.0,3.0,6.0,10.0,4.0,3.0,4.0,7.0,2.0,,,,
07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,2.0,2.0,3.0,4.0,1.0,4.0,,3.0,4.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,1.0,2.0,5.0,4.0,2.0,2.0,6.0,3.0,8.0,6.0,8.0,13.0,7.0,10.0,7.0,20.0,5.0,14.0,15.0,9.0,20.0,14.0,14.0,22.0,24.0,26.0,26.0,32.0,24.0,29.0,37.0,23.0,28.0,46.0,57.0,62.0,50.0,56.0,60.0,45.0,60.0,47.0,21.0,29.0,7.0,2.0,
08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,4.0,4.0,6.0,2.0,8.0,7.0,2.0,10.0,7.0,11.0,14.0,8.0,7.0,9.0,11.0,11.0,11.0,19.0,15.0,13.0,14.0,12.0,28.0,25.0,33.0,37.0,31.0,50.0,26.0,38.0,34.0,52.0,49.0,26.0,37.0,37.0,30.0,35.0,42.0,31.0,31.0,27.0,27.0,16.0,26.0,23.0,25.0,30.0,24.0,15.0,24.0,11.0,14.0,9.0,2.0,2.0,1.0,1.0,
09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,2.0,1.0,2.0,5.0,2.0,3.0,2.0,6.0,9.0,5.0,19.0,22.0,19.0,15.0,32.0,33.0,35.0,42.0,23.0,25.0,33.0,53.0,20.0,28.0,48.0,45.0,47.0,81.0,56.0,59.0,52.0,103.0,71.0,123.0,105.0,101.0,120.0,120.0,146.0,142.0,152.0,175.0,291.0,198.0,205.0,266.0,259.0,339.0,302.0,344.0,377.0,334.0,568.0,341.0,351.0,392.0,430.0,440.0,392.0,516.0,448.0,362.0,498.0,779.0,478.0,487.0,652.0,559.0,509.0,539.0,633.0,537.0,690.0,562.0,462.0,400.0,325.0,420.0,311.0,256.0,258.0,120.0,76.0,21.0
