CVEGEO,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,1.0,,,2.0,1.0,,,,2.0,1.0,1.0,,,1.0,1.0,2.0,,,1.0,,1.0,,1.0,,1.0,,4.0,4.0,1.0,3.0,6.0,,1.0,,2.0,2.0,5.0,3.0,6.0,5.0,7.0,4.0,10.0,3.0,5.0,1.0,2.0,10.0,6.0,6.0,7.0,8.0,9.0,11.0,8.0,8.0,4.0,8.0,8.0,9.0,11.0,14.0,11.0,7.0,12.0,19.0,20.0,13.0,15.0,24.0,27.0,24.0,26.0,30.0,38.0,28.0,39.0,33.0,73.0,35.0,42.0,51.0,60.0,55.0,48.0,51.0,34.0,43.0,39.0,25.0,20.0,29.0,18.0,10.0,15.0,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,3.0,3.0,10.0,4.0,2.0,1.0,7.0,4.0,5.0,2.0,3.0,3.0,5.0,5.0,1.0,,1.0,1.0,7.0,7.0,6.0,3.0,5.0,3.0,1.0,5.0,5.0,5.0,5.0,7.0,12.0,20.0,16.0,14.0,7.0,15.0,13.0,15.0,13.0,13.0,10.0,21.0,14.0,21.0,17.0,9.0,8.0,21.0,33.0,37.0,27.0,31.0,32.0,29.0,42.0,38.0,39.0,30.0,51.0,49.0,29.0,36.0,66.0,51.0,60.0,69.0,50.0,62.0,28.0,86.0,100.0,111.0,148.0,104.0,126.0,114.0,159.0,159.0,156.0,193.0,151.0,152.0,143.0,169.0,184.0,129.0,151.0,137.0,156.0,90.0,142.0,110.0,84.0,29.0,10.0,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,,3.0,1.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,,1.0,1.0,4.0,5.0,4.0,5.0,8.0,10.0,6.0,8.0,4.0,13.0,6.0,12.0,9.0,8.0,15.0,3.0,14.0,7.0,9.0,13.0,17.0,23.0,17.0,19.0,23.0,35.0,33.0,21.0,22.0,28.0,36.0,35.0,51.0,32.0,43.0,48.0,34.0,36.0,38.0,48.0,57.0,63.0,64.0,70.0,75.0,85.0,140.0,113.0,97.0,150.0,110.0,115.0,91.0,91.0,116.0,91.0,100.0,114.0,106.0,104.0,106.0,101.0,89.0,144.0,103.0,102.0,73.0,92.0,102.0,69.0,86.0,78.0,50.0,27.0,12.0,2.0,6.0,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,1.0,3.0,1.0,,1.0,,2.0,2.0,3.0,1.0,,6.0,3.0,2.0,3.0,4.0,2.0,5.0,7.0,5.0,,1.0,4.0,1.0,4.0,8.0,2.0,4.0,5.0,7.0,9.0,7.0,11.0,6.0,6.0,15.0,10.0,19.0,18.0,33.0,22.0,18.0,20.0,26.0,22.0,28.0,31.0,27.0,23.0,30.0,36.0,28.0,34.0,44.0,32.0,35.0,31.0,54.0,48.0,62.0,63.0,48.0,65.0,69.0,71.0,45.0,54.0,91.0,78.0,75.0,53.0,82.0,82.0,50.0,109.0,62.0,59.0,57.0,63.0,66.0,67.0,77.0,66.0,66.0,62.0,84.0,71.0,61.0,68.0,66.0,80.0,41.0,30.0,29.0,20.0,18.0,4.0,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,2.0,1.0,3.0,3.0,4.0,6.0,8.0,8.0,8.0,2.0,6.0,12.0,8.0,,8.0,10.0,6.0,6.0,4.0,4.0,1.0,8.0,2.0,4.0,8.0,5.0,3.0,9.0,8.0,4.0,3.0,6.0,10.0,8.0,6.0,6.0,4.0,7.0,10.0,13.0,7.0,15.0,13.0,8.0,11.0,20.0,20.0,17.0,23.0,21.0,17.0,19.0,21.0,19.0,19.0,32.0,23.0,34.0,27.0,46.0,34.0,23.0,29.0,20.0,37.0,42.0,49.0,36.0,48.0,49.0,46.0,33.0,68.0,64.0,78.0,65.0,73.0,81.0,88.0,126.0,165.0,126.0,134.0,155.0,164.0,154.0,140.0,281.0,183.0,154.0,152.0,159.0,149.0,170.0,177.0,130.0,113.0,100.0,52.0,49.0,57.0,51.0,32.0,6.0,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,1.0,,2.0,3.0,1.0,1.0,,5.0,3.0,11.0,2.0,5.0,8.0,10.0,10.0,13.0,18.0,13.0,12.0,10.0,21.0,20.0,22.0,29.0,29.0,36.0,42.0,53.0,30.0,36.0,61.0,50.0,78.0,60.0,68.0,72.0,61.0,108.0,76.0,110.0,100.0,165.0,123.0,148.0,188.0,166.0,211.0,197.0,237.0,244.0,233.0,324.0,243.0,235.0,237.0,275.0,298.0,269.0,289.0,304.0,259.0,362.0,466.0,289.0,285.0,339.0,376.0,370.0,426.0,452.0,412.0,535.0,481.0,381.0,415.0,371.0,588.0,454.0,428.0,587.0,503.0,647.0,373.0,598.0,492.0,463.0,703.0,537.0,515.0,569.0,587.0,572.0,541.0,898.0,547.0,508.0,544.0,619.0,598.0,443.0,405.0,268.0,274.0,167.0,131.0,74.0,56.0,84.0,43.0,5.0,2.0
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,8.0,1.0,2.0,4.0,,1.0,,4.0,4.0,2.0,4.0,2.0,3.0,1.0,1.0,3.0,1.0,10.0,3.0,3.0,3.0,6.0,5.0,14.0,8.0,7.0,14.0,7.0,11.0,19.0,9.0,14.0,17.0,21.0,16.0,13.0,38.0,16.0,21.0,24.0,26.0,23.0,34.0,24.0,21.0,19.0,29.0,45.0,29.0,56.0,47.0,55.0,40.0,47.0,64.0,43.0,78.0,66.0,63.0,63.0,81.0,104.0,67.0,51.0,81.0,64.0,102.0,76.0,95.0,62.0,98.0,149.0,106.0,102.0,136.0,111.0,97.0,106.0,174.0,131.0,142.0,118.0,120.0,141.0,110.0,100.0,88.0,81.0,61.0,46.0,34.0,18.0,15.0,3.0,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,1.0,4.0,2.0,9.0,4.0,4.0,6.0,7.0,2.0,2.0,7.0,2.0,15.0,6.0,9.0,17.0,8.0,17.0,14.0,19.0,34.0,22.0,28.0,18.0,27.0,25.0,42.0,35.0,26.0,31.0,39.0,43.0,38.0,43.0,26.0,28.0,37.0,35.0,24.0,29.0,48.0,28.0,28.0,34.0,21.0,23.0,20.0,35.0,39.0,38.0,40.0,35.0,38.0,33.0,31.0,41.0,43.0,31.0,25.0,30.0,27.0,51.0,40.0,40.0,46.0,17.0,20.0,35.0,47.0,28.0,45.0,49.0,24.0,23.0,29.0,33.0,21.0,16.0,4.0,3.0,1.0,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,,1.0,,1.0,,,2.0,,,2.0,1.0,,,3.0,2.0,3.0,2.0,3.0,4.0,1.0,1.0,3.0,2.0,4.0,1.0,1.0,3.0,4.0,2.0,2.0,8.0,4.0,2.0,4.0,1.0,5.0,7.0,12.0,7.0,10.0,7.0,8.0,15.0,18.0,21.0,18.0,12.0,19.0,5.0,14.0,8.0,14.0,17.0,20.0,15.0,16.0,8.0,14.0,20.0,21.0,19.0,21.0,22.0,16.0,15.0,18.0,24.0,29.0,39.0,28.0,21.0,30.0,24.0,26.0,40.0,37.0,29.0,26.0,30.0,31.0,36.0,24.0,39.0,35.0,34.0,31.0,30.0,22.0,15.0,21.0,2.0,1.0,
19,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,2.0,,9.0,2.0,5.0,2.0,6.0,8.0,7.0,3.0,8.0,6.0,5.0,5.0,3.0,4.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,4.0,6.0,5.0,10.0,8.0,2.0,7.0,10.0,13.0,11.0,13.0,24.0,13.0,9.0,11.0,9.0,6.0,8.0,7.0,8.0,9.0,11.0,8.0,16.0,12.0,13.0,21.0,24.0,33.0,14.0,14.0,23.0,38.0,18.0,18.0,29.0,76.0,23.0,28.0,46.0,32.0,38.0,48.0,46.0,58.0,35.0,52.0,27.0,31.0,54.0,56.0,43.0,35.0,52.0,65.0,46.0,85.0,74.0,59.0,44.0,55.0,56.0,60.0,114.0,80.0,98.0,111.0,148.0,114.0,92.0,202.0,135.0,142.0,117.0,89.0,33.0,37.0,28.0,22.0,12.0,2.0
