CVEGEO,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28
00000,1.0,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,1.0,2.0,1.0,,1.0,1.0,2.0,2.0,2.0,6.0,9.0,6.0,7.0,7.0,10.0,21.0,21.0,62.0,50.0,51.0,58.0,85.0,92.0,99.0,132.0,108.0,124.0,110.0,182.0,127.0,140.0,223.0,179.0,207.0,245.0,283.0,268.0,259.0,380.0,309.0,456.0,431.0,439.0,445.0,425.0,570.0,496.0,612.0,607.0,948.0,707.0,760.0,945.0,890.0,1023.0,1014.0,1140.0,1245.0,1122.0,1790.0,1169.0,1213.0,1274.0,1512.0,1544.0,1407.0,1691.0,1498.0,1347.0,1837.0,2469.0,1790.0,1707.0,2136.0,2121.0,1910.0,2141.0,2460.0,2166.0,2850.0,2626.0,2275.0,2167.0,2169.0,2995.0,2266.0,2147.0,2730.0,2069.0,2124.0,1242.0,1266.0,940.0,665.0,468.0,226.0,64.0,2.0
01,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,1.0,1.0,2.0,2.0,4.0,2.0,2.0,,5.0,9.0,5.0,5.0,4.0,6.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,,2.0,4.0,3.0,2.0,3.0,5.0,6.0,5.0,6.0,11.0,10.0,8.0,11.0,15.0,7.0,19.0,6.0,11.0,17.0,11.0,9.0,10.0,27.0,12.0,16.0,24.0,10.0,19.0,11.0,23.0,22.0,9.0,18.0,9.0,8.0,20.0,29.0,13.0,22.0,20.0,21.0,13.0,17.0,21.0,18.0,29.0,28.0,23.0,14.0,17.0,17.0,20.0,2.0,
02,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,2.0,4.0,4.0,3.0,5.0,5.0,11.0,10.0,15.0,6.0,6.0,18.0,20.0,18.0,24.0,26.0,25.0,37.0,41.0,33.0,53.0,64.0,49.0,50.0,46.0,55.0,52.0,74.0,83.0,109.0,77.0,88.0,68.0,84.0,75.0,69.0,87.0,80.0,91.0,115.0,78.0,100.0,67.0,72.0,87.0,90.0,87.0,80.0,63.0,101.0,146.0,115.0,88.0,96.0,90.0,107.0,99.0,128.0,90.0,127.0,96.0,96.0,98.0,83.0,140.0,89.0,103.0,126.0,103.0,85.0,43.0,54.0,33.0,24.0,11.0,3.0,,
03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,3.0,1.0,1.0,,1.0,4.0,5.0,5.0,2.0,5.0,6.0,8.0,9.0,4.0,15.0,13.0,18.0,17.0,22.0,20.0,20.0,13.0,6.0,8.0,6.0,13.0,12.0,10.0,8.0,7.0,6.0,5.0,7.0,11.0,6.0,13.0,1.0,12.0,6.0,10.0,8.0,4.0,4.0,3.0,5.0,11.0,17.0,5.0,7.0,5.0,16.0,4.0,10.0,8.0,4.0,9.0,5.0,10.0,13.0,11.0,9.0,9.0,13.0,13.0,5.0,12.0,5.0,7.0,12.0,5.0,3.0,,2.0,
04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,1.0,,1.0,,,2.0,,2.0,,1.0,2.0,,2.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,4.0,1.0,4.0,6.0,2.0,5.0,2.0,5.0,4.0,4.0,4.0,6.0,10.0,5.0,10.0,6.0,9.0,10.0,5.0,12.0,4.0,10.0,10.0,17.0,15.0,11.0,19.0,17.0,13.0,7.0,16.0,16.0,23.0,26.0,22.0,13.0,17.0,15.0,22.0,19.0,14.0,16.0,18.0,6.0,11.0,6.0,2.0,8.0,1.0,,
05,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,1.0,,,2.0,3.0,4.0,2.0,5.0,6.0,3.0,10.0,7.0,8.0,14.0,19.0,15.0,14.0,21.0,11.0,14.0,11.0,11.0,16.0,7.0,15.0,13.0,10.0,8.0,15.0,9.0,8.0,15.0,11.0,16.0,14.0,9.0,14.0,5.0,15.0,13.0,10.0,12.0,12.0,13.0,14.0,10.0,13.0,12.0,22.0,27.0,17.0,9.0,14.0,28.0,19.0,17.0,23.0,25.0,18.0,22.0,25.0,13.0,15.0,27.0,29.0,32.0,35.0,19.0,18.0,30.0,15.0,16.0,4.0,1.0,1.0,,
06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,1.0,1.0,,,2.0,1.0,,,,,,,,1.0,1.0,,,,2.0,3.0,,,2.0,,6.0,1.0,,1.0,1.0,,2.0,1.0,1.0,,2.0,,2.0,4.0,3.0,3.0,1.0,2.0,,3.0,3.0,6.0,3.0,3.0,6.0,10.0,6.0,3.0,4.0,8.0,5.0,9.0,2.0,10.0,2.0,5.0,2.0,,,,,
07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,2.0,2.0,3.0,4.0,1.0,4.0,,3.0,4.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,1.0,2.0,5.0,4.0,2.0,2.0,6.0,3.0,8.0,6.0,8.0,13.0,7.0,10.0,7.0,20.0,5.0,14.0,15.0,10.0,21.0,14.0,14.0,23.0,25.0,26.0,27.0,32.0,23.0,30.0,39.0,24.0,28.0,49.0,58.0,63.0,56.0,59.0,65.0,60.0,77.0,80.0,56.0,112.0,73.0,71.0,57.0,45.0,42.0,22.0,5.0,,,
08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,4.0,4.0,6.0,2.0,8.0,7.0,2.0,10.0,7.0,11.0,14.0,8.0,7.0,9.0,12.0,11.0,11.0,19.0,15.0,15.0,15.0,13.0,28.0,26.0,33.0,37.0,32.0,52.0,28.0,40.0,35.0,52.0,52.0,28.0,43.0,37.0,34.0,39.0,49.0,40.0,37.0,33.0,31.0,24.0,30.0,34.0,30.0,42.0,39.0,27.0,39.0,26.0,37.0,25.0,24.0,36.0,26.0,18.0,12.0,12.0,7.0,4.0,1.0,,,
09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,2.0,1.0,2.0,5.0,2.0,3.0,2.0,6.0,9.0,5.0,19.0,22.0,19.0,15.0,32.0,33.0,35.0,42.0,23.0,25.0,33.0,53.0,20.0,29.0,48.0,45.0,47.0,81.0,57.0,60.0,52.0,104.0,71.0,124.0,107.0,103.0,120.0,127.0,150.0,146.0,157.0,177.0,294.0,200.0,208.0,276.0,264.0,348.0,308.0,353.0,381.0,343.0,577.0,350.0,361.0,396.0,448.0,459.0,405.0,531.0,464.0,381.0,525.0,819.0,511.0,517.0,686.0,608.0,559.0,609.0,711.0,592.0,828.0,706.0,597.0,517.0,506.0,742.0,561.0,526.0,696.0,453.0,609.0,290.0,281.0,219.0,155.0,127.0,92.0,18.0,
