CVEGEO,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24
05030,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,
05031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,,,,,
05035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,
06001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,
06002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
06007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,2.0,,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,2.0,3.0,1.0,,1.0,1.0,,,,,,,,
07002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,
07004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
07012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
07015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,
07023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
07027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,
07028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
07034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,
07036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
07037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
07041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
07052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
07057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
07058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
07059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,1.0,,,,1.0,,,,,
07061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,
07065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,
07074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,
07078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,
07079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
07081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,
07085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
07089,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,2.0,,,,,1.0,2.0,,2.0,,,2.0,,,,,1.0,1.0,,,,,
07092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
07096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
07097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,
07100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,1.0,,,,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,,2.0,4.0,,1.0,3.0,1.0,,,,2.0,,,,,,
07102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
07106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,
07108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
08005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
08019,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,1.0,1.0,1.0,,1.0,2.0,,,1.0,,,,,,2.0,2.0,2.0,3.0,3.0,2.0,,4.0,1.0,4.0,,1.0,1.0,,1.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,
08021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
08028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
08034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
08037,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,1.0,2.0,3.0,,1.0,2.0,1.0,7.0,3.0,3.0,4.0,1.0,5.0,3.0,1.0,4.0,4.0,5.0,2.0,1.0,3.0,3.0,9.0,2.0,5.0,5.0,4.0,9.0,3.0,5.0,5.0,6.0,9.0,4.0,10.0,8.0,8.0,6.0,10.0,6.0,5.0,5.0,4.0,2.0,3.0,2.0,5.0,5.0,2.0,4.0,4.0,3.0,1.0,4.0,1.0,1.0,2.0,,1.0,,,
08045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,
08048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
08059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
09002,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,2.0,1.0,,,,1.0,2.0,1.0,,1.0,1.0,1.0,3.0,1.0,,3.0,1.0,1.0,3.0,,4.0,2.0,1.0,1.0,1.0,5.0,4.0,3.0,,4.0,3.0,1.0,2.0,1.0,1.0,5.0,4.0,2.0,5.0,4.0,2.0,2.0,1.0,1.0,3.0,7.0,,2.0,2.0,,2.0,2.0,1.0,1.0,,,,,,
09003,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,2.0,,,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,,1.0,3.0,2.0,2.0,2.0,3.0,2.0,,2.0,4.0,,,2.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,5.0,1.0,,1.0,2.0,5.0,1.0,3.0,2.0,3.0,1.0,,2.0,2.0,2.0,,2.0,1.0,2.0,1.0,,1.0,,,,,,
09004,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,2.0,,,,1.0,,1.0,1.0,,,1.0,,,,1.0,,,1.0,,,1.0,,,,,,,2.0,,,,,,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,,
09005,,,,,,,,,,,,,,,,,,1.0,,1.0,,,2.0,,2.0,1.0,,1.0,3.0,2.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,3.0,2.0,4.0,6.0,3.0,2.0,9.0,6.0,3.0,8.0,9.0,8.0,7.0,6.0,13.0,10.0,11.0,11.0,10.0,5.0,11.0,6.0,10.0,5.0,9.0,8.0,12.0,9.0,11.0,7.0,10.0,6.0,9.0,6.0,12.0,6.0,10.0,7.0,5.0,2.0,4.0,6.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,
09006,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,1.0,,,,,,1.0,1.0,,,3.0,2.0,1.0,3.0,4.0,1.0,3.0,1.0,4.0,4.0,3.0,2.0,1.0,2.0,4.0,2.0,5.0,3.0,1.0,5.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,6.0,1.0,6.0,4.0,2.0,2.0,2.0,6.0,3.0,2.0,2.0,1.0,2.0,,,2.0,,,,,,,,
09007,,,,,,1.0,,,,,,,,,,,,,,,1.0,,4.0,,1.0,1.0,1.0,3.0,3.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,6.0,7.0,8.0,5.0,20.0,3.0,11.0,6.0,5.0,8.0,14.0,9.0,12.0,15.0,20.0,5.0,11.0,11.0,14.0,18.0,8.0,14.0,10.0,12.0,10.0,10.0,8.0,13.0,5.0,11.0,12.0,6.0,10.0,5.0,9.0,7.0,5.0,4.0,4.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,,,
09008,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,2.0,,,1.0,,,,1.0,1.0,1.0,,1.0,,3.0,,1.0,1.0,,,,1.0,,1.0,,,1.0,,,1.0,,1.0,3.0,4.0,2.0,,4.0,1.0,,1.0,1.0,,1.0,,1.0,,1.0,1.0,,,,,,,,,
09009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,,,1.0,,1.0,1.0,1.0,2.0,2.0,2.0,,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,
09010,,,,,,,,,1.0,,,,,,,,,,,2.0,,,2.0,,,1.0,1.0,,2.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,,2.0,2.0,1.0,3.0,3.0,4.0,1.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,3.0,3.0,2.0,1.0,4.0,4.0,3.0,1.0,3.0,4.0,3.0,2.0,4.0,4.0,9.0,1.0,6.0,8.0,4.0,2.0,3.0,4.0,1.0,2.0,2.0,2.0,,1.0,1.0,1.0,,,
09011,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,1.0,,,1.0,,,1.0,1.0,,,1.0,,,,,,1.0,2.0,2.0,2.0,1.0,,1.0,1.0,1.0,,2.0,1.0,3.0,2.0,2.0,3.0,,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,,,,,,,
09012,,,,,,,,,,,,,,,,,,1.0,,,1.0,2.0,,1.0,,,,1.0,,,1.0,1.0,,3.0,2.0,1.0,,,2.0,4.0,2.0,2.0,,2.0,,2.0,2.0,3.0,4.0,1.0,3.0,1.0,1.0,4.0,3.0,,1.0,3.0,1.0,,6.0,4.0,1.0,4.0,4.0,5.0,2.0,5.0,4.0,3.0,3.0,1.0,3.0,2.0,,,2.0,2.0,2.0,,,1.0,,,1.0,,,
09013,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,1.0,3.0,,1.0,,1.0,1.0,1.0,2.0,,1.0,5.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,,,1.0,8.0,2.0,2.0,,2.0,1.0,4.0,1.0,3.0,,1.0,,,,3.0,,,,,,,,,
09014,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,1.0,1.0,,2.0,1.0,,,,1.0,1.0,2.0,1.0,1.0,3.0,,1.0,,1.0,4.0,,3.0,2.0,1.0,1.0,4.0,2.0,3.0,2.0,3.0,2.0,1.0,5.0,1.0,,1.0,2.0,2.0,2.0,2.0,,3.0,,,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,,,
09015,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,1.0,2.0,1.0,2.0,1.0,,1.0,1.0,1.0,,4.0,2.0,3.0,2.0,2.0,4.0,5.0,1.0,4.0,,2.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,4.0,7.0,3.0,2.0,4.0,4.0,2.0,3.0,7.0,5.0,3.0,2.0,2.0,1.0,1.0,3.0,4.0,3.0,2.0,3.0,3.0,2.0,1.0,,2.0,,1.0,,1.0,,,
09016,1.0,,,,,,,,,,,1.0,,,,,1.0,,1.0,,,1.0,,,,1.0,1.0,,,2.0,,,1.0,1.0,1.0,1.0,,,1.0,2.0,,,,3.0,2.0,1.0,2.0,2.0,1.0,,4.0,,3.0,3.0,1.0,4.0,,1.0,1.0,3.0,3.0,2.0,,1.0,2.0,,1.0,,1.0,1.0,4.0,1.0,1.0,3.0,1.0,,,,2.0,2.0,3.0,1.0,,,,,,
09017,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,2.0,1.0,,,,2.0,,1.0,,,2.0,1.0,3.0,3.0,,2.0,3.0,4.0,1.0,2.0,1.0,2.0,2.0,4.0,3.0,,1.0,2.0,3.0,,4.0,6.0,,2.0,2.0,1.0,4.0,3.0,1.0,4.0,4.0,5.0,,2.0,3.0,2.0,3.0,1.0,,1.0,,1.0,2.0,1.0,,,,,,,
10005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,1.0,,2.0,,,,,,,,1.0,1.0,,,1.0,,,,
10007,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,
10008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
10012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
10022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
10023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
10034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
10036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
11001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
11002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
11005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
11007,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,3.0,2.0,1.0,1.0,1.0,1.0,,,,1.0,,1.0,,,,1.0,,,1.0,,,,,,
11011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,
11015,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,
11018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
11020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,1.0,,1.0,1.0,1.0,,,,,3.0,1.0,1.0,,1.0,,2.0,,,,,,,1.0,,1.0,1.0,1.0,,,,,,
11021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
11026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
11027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
11028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
11033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
11035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,1.0,,,2.0,,,,,,,1.0,,,,,
11037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
11042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12001,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,2.0,1.0,,,1.0,,,,,1.0,,1.0,,2.0,,,1.0,,3.0,,1.0,,1.0,,2.0,3.0,,1.0,,5.0,3.0,2.0,4.0,2.0,2.0,1.0,5.0,1.0,5.0,5.0,4.0,6.0,1.0,3.0,1.0,1.0,2.0,1.0,,,,,
12002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
12008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
